,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,total_mn,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,total_em,Age_tier,distancehome_tier,JobRole_tier,MonthlyIncome_tier,YearsAtCompany_tier,TotalWorkingYear_tier
21,50,0,2,2,8,4,1,1,1,6,0,96670,3.0,23,0,28.0,2,10,1,6,2,4,3.0,1.0,2.0,2.0,1.6666666666666667,2,3,1,4,4,5
22,53,0,2,1,11,4,1,0,2,6,1,21480,3.0,11,0,21.0,2,5,1,3,3,3,3.0,3.0,3.0,2.0,2.6666666666666665,3,2,1,1,3,5
24,29,0,1,1,16,4,3,1,1,2,2,65130,1.0,11,1,10.0,2,10,0,9,3,3,3.0,2.0,4.0,2.0,2.6666666666666665,0,2,3,4,4,4
25,55,0,2,1,1,4,4,0,1,6,1,67990,3.0,11,0,12.0,2,10,0,8,3,3,3.0,2.0,4.0,3.0,3.0,3,4,1,4,4,5
26,26,0,1,1,9,3,1,0,1,3,1,162910,1.0,22,0,5.0,3,5,3,3,3,4,3.5,1.0,1.0,3.0,1.6666666666666667,0,3,3,5,3,3
27,37,0,2,2,5,1,2,1,1,6,2,27050,1.0,11,0,17.0,2,17,5,7,3,3,3.0,4.0,4.0,3.0,3.6666666666666665,1,4,1,2,5,5
28,44,1,1,1,1,2,3,1,2,6,0,103330,3.0,14,1,19.0,2,1,0,0,2,3,2.5,4.0,3.0,1.0,2.6666666666666665,2,4,1,5,1,5
29,38,0,2,2,2,3,2,0,1,3,0,44480,9.0,12,0,10.0,3,2,1,2,2,3,2.5,4.0,4.0,3.0,3.6666666666666665,1,4,3,3,2,4
30,26,1,2,1,4,3,3,1,3,6,0,68540,2.0,11,0,5.0,5,3,0,2,2,3,2.5,1.0,2.0,3.0,2.0,0,4,1,4,2,3
31,28,0,2,1,7,3,4,1,1,1,2,96370,1.0,13,0,5.0,6,5,0,2,2,3,2.5,4.0,4.0,3.0,3.6666666666666665,0,3,4,4,3,3
32,49,0,1,1,1,1,3,0,2,6,2,35910,9.0,13,0,22.0,2,3,1,2,3,3,3.0,3.0,1.0,3.0,2.3333333333333335,2,4,1,3,2,5
33,36,0,2,2,5,3,5,1,3,7,2,54050,4.0,14,0,10.0,2,8,7,7,3,3,3.0,3.0,2.0,3.0,2.6666666666666665,1,4,1,3,4,4
34,31,0,1,1,9,4,3,1,1,7,0,46840,1.0,16,1,2.0,4,2,2,2,3,3,3.0,4.0,2.0,2.0,2.6666666666666665,1,3,1,3,2,2
35,26,1,2,1,8,3,3,1,2,3,2,157870,1.0,12,2,8.0,5,8,7,4,3,3,3.0,4.0,4.0,3.0,3.6666666666666665,0,3,3,5,4,4
36,37,0,1,2,9,1,2,1,1,2,1,15140,1.0,14,0,4.0,3,4,1,2,3,3,3.0,2.0,4.0,2.0,2.6666666666666665,1,3,3,1,2,2
37,42,0,1,2,2,2,2,1,3,5,1,29560,5.0,13,0,23.0,2,20,4,8,3,3,3.0,3.0,2.0,4.0,3.0,2,4,2,2,5,5
38,18,1,2,1,1,4,1,1,1,7,2,23350,1.0,14,2,0.0,3,0,0,0,2,3,2.5,3.0,3.0,3.0,3.0,4,4,1,1,1,1
39,35,0,2,2,20,2,1,1,1,2,1,51540,0.0,19,0,12.0,2,11,6,9,2,3,2.5,3.0,2.0,2.0,2.3333333333333335,1,2,3,3,4,5
41,51,0,2,1,2,3,1,1,2,2,0,56750,5.0,13,0,13.0,2,4,1,2,2,3,2.5,4.0,2.0,3.0,3.0,3,4,3,3,2,5
42,41,0,2,1,29,1,1,1,1,2,2,23790,1.0,12,0,22.0,6,22,0,4,3,3,3.0,4.0,2.0,3.0,3.0,2,1,3,1,5,5
43,18,0,2,2,7,3,1,1,1,6,2,38120,1.0,15,0,0.0,3,0,0,0,3,3,3.0,4.0,3.0,3.0,3.3333333333333335,4,3,1,3,1,1
44,28,0,2,1,9,3,3,1,1,8,2,46480,0.0,23,2,9.0,2,8,0,7,2,4,3.0,2.0,1.0,3.0,2.0,0,3,0,3,4,4
45,31,0,2,1,8,1,5,1,1,4,1,29360,4.0,12,1,10.0,2,8,7,7,3,3,3.0,2.0,4.0,2.0,2.6666666666666665,1,3,2,2,4,4
46,39,0,2,2,5,4,2,0,2,1,0,21050,0.0,20,0,19.0,3,18,3,7,3,4,3.5,3.0,4.0,2.0,3.0,1,4,4,1,5,5
47,36,0,0,1,5,4,1,1,1,7,1,85780,7.0,21,0,11.0,4,9,0,8,3,4,3.5,2.0,2.0,3.0,2.3333333333333335,1,4,1,4,4,4
48,32,0,2,2,2,3,2,1,2,2,1,27060,1.0,21,1,13.0,4,13,4,8,3,4,3.5,4.0,3.0,2.0,3.0,1,4,3,2,5,5
49,38,0,2,1,5,2,1,0,3,6,1,63840,3.0,19,2,19.0,4,10,0,1,2,3,2.5,1.0,2.0,3.0,2.0,1,4,1,4,4,5
50,58,0,0,1,2,3,1,1,2,4,0,39680,2.0,13,2,12.0,3,5,1,2,2,3,2.5,4.0,3.0,3.0,3.3333333333333335,3,4,2,3,3,5
51,31,0,2,1,20,1,5,0,3,6,1,99070,0.0,13,1,6.0,3,5,0,3,2,3,2.5,3.0,4.0,3.0,3.3333333333333335,1,2,1,4,3,3
52,31,0,2,2,7,4,2,1,2,7,1,132250,3.0,21,1,9.0,2,2,1,0,3,4,3.5,1.0,1.0,3.0,1.6666666666666667,1,3,1,5,2,4
53,45,0,1,1,3,1,3,0,1,7,0,35400,1.0,13,0,24.0,6,24,9,11,3,3,3.0,1.0,1.0,3.0,1.6666666666666667,2,4,1,3,5,5
54,31,0,2,2,16,4,2,0,2,6,0,28040,0.0,19,2,3.0,0,2,2,2,3,3,3.0,3.0,4.0,1.0,2.6666666666666665,1,2,1,2,2,2
55,33,0,1,1,9,3,1,1,4,5,1,193920,6.0,12,1,12.0,3,10,8,8,3,3,3.0,4.0,2.0,3.0,3.0,1,3,2,5,4,5
56,39,0,2,2,1,4,1,1,1,7,1,196650,1.0,22,1,21.0,6,21,11,10,3,4,3.5,3.0,1.0,3.0,2.3333333333333335,1,4,1,5,5,5
57,43,0,1,1,7,4,3,1,4,6,2,24390,0.0,15,0,9.0,2,8,1,7,3,3,3.0,3.0,4.0,3.0,3.3333333333333335,2,3,1,1,4,4
58,49,0,2,1,1,3,1,1,3,4,2,73140,7.0,22,0,25.0,2,7,0,7,3,4,3.5,3.0,3.0,3.0,3.0,2,4,2,4,3,5
59,52,1,2,1,7,1,1,0,2,6,1,47740,2.0,18,1,11.0,2,8,7,7,3,3,3.0,3.0,2.0,2.0,2.3333333333333335,3,3,1,3,4,4
60,27,0,2,1,15,4,3,1,3,6,2,39020,1.0,22,0,4.0,2,4,1,2,3,4,3.5,3.0,2.0,2.0,2.3333333333333335,0,2,1,3,2,2
61,32,0,2,1,1,3,1,1,3,6,1,26620,1.0,11,1,13.0,6,13,11,9,4,3,3.5,3.0,2.0,3.0,2.6666666666666665,1,4,1,2,5,5
62,27,0,2,1,13,2,3,0,4,5,2,28560,1.0,12,2,5.0,5,5,0,4,4,3,3.5,4.0,3.0,3.0,3.3333333333333335,0,2,2,2,3,3
63,31,0,2,2,24,3,1,1,2,0,0,10810,4.0,11,3,13.0,4,7,1,7,4,3,3.5,4.0,4.0,3.0,3.6666666666666665,1,1,4,1,3,5
64,32,0,2,1,7,3,5,1,2,0,2,24720,7.0,13,0,10.0,2,7,0,7,3,3,3.0,1.0,4.0,2.0,2.3333333333333335,1,3,4,1,3,4
65,28,1,2,1,9,4,3,1,1,7,1,56730,5.0,14,1,5.0,4,3,2,2,2,3,2.5,1.0,4.0,2.0,2.3333333333333335,0,3,1,3,2,3
66,30,0,2,1,13,3,1,0,4,5,1,41970,1.0,13,0,11.0,3,10,1,9,3,3,3.0,4.0,4.0,3.0,3.6666666666666665,0,2,2,3,4,4
67,31,0,1,1,2,1,1,0,1,3,1,97130,1.0,17,0,10.0,5,10,8,9,2,3,2.5,3.0,3.0,3.0,3.0,1,4,3,4,4,4
68,39,0,1,1,19,4,3,0,1,6,1,20620,1.0,13,0,21.0,4,21,13,3,3,3,3.0,3.0,4.0,3.0,3.3333333333333335,1,2,1,1,5,5
69,39,1,2,1,1,1,3,0,1,2,1,42840,4.0,17,1,12.0,0,1,0,0,3,3,3.0,4.0,3.0,2.0,3.0,1,4,3,3,1,5
70,33,0,1,2,4,2,1,1,4,6,2,47880,3.0,11,1,9.0,0,7,0,1,3,3,3.0,2.0,4.0,2.0,2.6666666666666665,1,4,1,3,3,4
71,47,0,2,1,4,3,1,0,2,0,1,59060,4.0,23,0,21.0,4,3,1,1,4,4,4.0,4.0,3.0,3.0,3.3333333333333335,2,4,4,3,2,5
72,43,0,1,1,14,3,3,0,5,5,0,38860,1.0,17,2,9.0,2,9,0,0,3,3,3.0,3.0,3.0,4.0,3.3333333333333335,2,2,2,3,4,4
73,27,0,0,1,2,3,1,1,1,5,1,168230,0.0,17,0,6.0,3,5,1,4,3,3,3.0,3.0,2.0,3.0,2.6666666666666665,0,4,2,5,3,3
74,54,0,1,1,1,4,1,1,2,6,2,29330,3.0,12,2,20.0,2,4,0,3,3,3,3.0,4.0,3.0,2.0,3.0,3,4,1,2,2,5
75,43,0,2,1,7,2,1,0,2,3,1,65000,8.0,23,0,10.0,3,1,0,0,3,4,3.5,3.0,1.0,2.0,2.0,2,3,3,4,1,4
76,45,0,2,2,3,1,2,0,1,7,1,171740,9.0,14,1,12.0,6,10,9,8,3,3,3.0,4.0,4.0,3.0,3.6666666666666665,2,4,1,5,4,5
77,40,0,2,1,2,4,4,1,4,6,1,50330,2.0,14,2,6.0,6,4,0,2,3,3,3.0,2.0,4.0,2.0,2.6666666666666665,1,4,1,3,2,3
78,29,1,2,1,29,3,3,0,1,6,1,23070,1.0,13,1,7.0,0,7,0,7,3,3,3.0,2.0,1.0,2.0,1.6666666666666667,0,1,1,1,3,3
79,29,0,2,0,8,3,3,1,3,8,2,25870,0.0,22,2,4.0,3,3,2,2,3,4,3.5,2.0,4.0,3.0,3.0,0,3,0,2,2,2
80,30,0,2,1,10,3,1,1,2,6,0,55070,1.0,12,2,10.0,2,10,1,2,2,3,2.5,4.0,3.0,3.0,3.3333333333333335,0,3,1,3,4,4
81,27,0,2,1,11,2,3,1,1,3,1,43930,1.0,18,1,8.0,2,8,0,7,2,3,2.5,2.0,2.0,3.0,2.3333333333333335,0,2,3,3,4,4
82,37,0,2,2,1,4,1,1,2,0,0,133480,7.0,14,0,8.0,4,6,0,4,3,3,3.0,4.0,4.0,2.0,3.3333333333333335,1,4,4,5,3,4
83,38,0,2,1,28,4,3,1,1,2,0,65830,0.0,12,0,12.0,1,11,2,9,3,3,3.0,3.0,4.0,3.0,3.3333333333333335,1,1,3,4,4,5
85,29,0,2,1,3,4,1,1,3,7,0,39780,1.0,11,0,7.0,0,7,1,7,3,3,3.0,4.0,2.0,3.0,3.0,0,4,1,3,3,3
86,35,0,2,2,16,2,5,1,3,3,2,25440,0.0,13,1,17.0,3,16,0,13,4,3,3.5,3.0,2.0,3.0,2.6666666666666665,1,2,3,2,5,5
87,23,0,2,1,20,4,1,1,1,4,0,53990,1.0,23,0,4.0,2,4,0,2,2,4,3.0,3.0,4.0,2.0,3.0,0,2,2,3,2,2
88,41,0,2,1,9,2,1,0,1,2,2,54870,6.0,19,2,8.0,0,5,1,2,3,3,3.0,4.0,2.0,3.0,3.0,2,3,3,3,3,4
89,47,0,1,2,1,3,3,0,2,2,2,68340,3.0,16,1,5.0,2,0,0,0,4,3,3.5,2.0,3.0,3.0,2.6666666666666665,2,4,3,4,1,3
90,42,0,2,1,3,4,1,1,1,3,2,10910,2.0,22,0,16.0,0,1,0,0,1,4,2.5,1.0,4.0,3.0,2.6666666666666665,2,4,3,1,1,5
91,29,0,0,2,22,4,2,1,2,1,1,57360,1.0,22,0,4.0,1,4,0,2,2,4,3.0,4.0,3.0,2.0,3.0,0,1,4,3,2,2
92,42,0,2,2,7,4,3,1,3,6,0,22260,0.0,12,1,4.0,3,3,1,0,2,3,2.5,3.0,3.0,3.0,3.0,2,3,1,1,2,2
93,32,0,2,1,2,3,3,1,2,6,1,57470,1.0,13,0,8.0,0,8,0,7,3,3,3.0,3.0,2.0,3.0,2.6666666666666665,1,4,1,3,4,4
94,48,0,2,2,13,4,3,1,4,7,1,98540,3.0,16,1,15.0,2,0,0,0,2,3,2.5,1.0,3.0,1.0,1.6666666666666667,2,2,1,4,1,5
95,37,0,2,1,8,5,5,1,2,4,0,54670,4.0,12,0,13.0,2,7,6,7,3,3,3.0,3.0,1.0,3.0,2.3333333333333335,1,3,2,3,3,5
96,30,0,0,2,25,4,4,1,1,0,1,53800,7.0,21,1,4.0,0,2,2,2,3,4,3.5,4.0,3.0,4.0,3.6666666666666665,0,1,4,3,2,2
97,26,0,2,2,28,3,3,0,5,2,1,51510,1.0,15,3,8.0,3,8,7,7,3,3,3.0,3.0,3.0,3.0,3.0,0,1,3,3,4,4
98,42,0,2,2,2,2,3,0,1,2,2,21330,3.0,13,2,14.0,2,1,0,0,3,3,3.0,1.0,4.0,3.0,2.6666666666666665,2,4,3,1,1,5
99,21,1,1,1,9,3,3,0,4,4,2,178750,1.0,12,0,3.0,5,3,1,2,2,3,2.5,1.0,2.0,3.0,2.0,0,3,2,5,2,2
100,36,0,0,0,28,3,0,1,2,2,2,24320,4.0,22,0,7.0,4,1,0,0,1,4,2.5,4.0,4.0,3.0,3.6666666666666665,1,1,3,1,1,3
101,36,0,1,1,6,3,1,0,2,6,1,47710,4.0,13,1,16.0,2,13,1,12,3,3,3.0,1.0,4.0,3.0,2.6666666666666665,1,3,1,3,5,5
102,57,0,2,1,21,4,1,1,5,6,1,191610,2.0,18,0,15.0,2,3,1,2,1,3,2.0,4.0,3.0,3.0,3.3333333333333335,3,1,1,5,2,5
103,40,0,2,1,8,3,4,1,2,7,1,50870,3.0,14,1,10.0,3,7,1,7,3,3,3.0,4.0,3.0,3.0,3.3333333333333335,1,3,1,3,3,4
104,21,0,0,1,1,5,1,0,2,3,2,28630,1.0,14,0,3.0,2,3,2,2,1,3,2.0,1.0,4.0,2.0,2.3333333333333335,0,4,3,2,2,2
105,33,1,2,0,28,2,0,0,5,3,2,55610,1.0,21,1,1.0,3,1,0,0,1,4,2.5,4.0,3.0,3.0,3.3333333333333335,1,1,3,3,1,1
106,37,0,2,1,5,3,1,1,4,6,1,21440,6.0,19,0,17.0,3,5,0,3,4,3,3.5,3.0,1.0,3.0,2.3333333333333335,1,4,1,1,3,5
107,46,0,0,2,2,4,2,0,2,2,1,30650,2.0,11,0,7.0,3,1,0,0,3,3,3.0,3.0,3.0,4.0,3.3333333333333335,2,4,3,2,1,3
108,41,1,1,1,16,1,3,0,1,6,2,28100,1.0,11,0,8.0,3,8,7,7,4,3,3.5,1.0,2.0,3.0,2.0,2,2,1,2,4,4
109,50,0,2,1,9,3,3,0,3,2,2,98880,6.0,15,0,20.0,2,4,1,3,3,3,3.0,4.0,4.0,3.0,3.6666666666666665,2,3,3,4,2,5
110,40,1,2,1,8,3,3,0,1,0,1,86280,2.0,20,0,8.0,2,6,1,0,2,4,3.0,3.0,3.0,3.0,3.0,1,3,4,4,3,4
112,21,1,2,0,10,2,0,1,1,2,2,53730,1.0,12,1,1.0,2,1,0,0,3,3,3.0,3.0,2.0,3.0,2.6666666666666665,0,3,3,3,1,1
113,29,0,2,1,1,3,1,0,2,5,2,66670,9.0,12,1,6.0,6,3,1,2,4,3,3.5,4.0,4.0,3.0,3.6666666666666665,0,4,2,4,2,3
114,35,0,2,1,29,3,1,0,3,7,2,50030,9.0,15,0,10.0,2,1,0,0,3,3,3.0,3.0,2.0,3.0,2.6666666666666665,1,1,1,3,1,4
116,28,0,2,1,2,2,3,1,3,3,2,28580,1.0,12,0,7.0,2,7,0,7,2,3,2.5,2.0,4.0,3.0,3.0,0,4,3,2,3,3
117,49,0,2,2,2,3,5,1,2,4,2,52040,8.0,14,1,26.0,3,5,0,0,3,3,3.0,2.0,3.0,3.0,2.6666666666666665,2,4,2,3,3,5
118,51,0,2,1,1,2,1,1,1,7,1,41050,4.0,22,1,18.0,2,7,0,7,3,4,3.5,3.0,4.0,2.0,3.0,3,4,1,3,3,5
119,36,0,2,2,15,2,1,1,1,7,1,96790,4.0,12,0,6.0,1,2,2,2,3,3,3.0,4.0,3.0,3.0,3.3333333333333335,1,2,1,4,2,3
120,34,1,0,1,7,3,1,1,1,8,2,56170,8.0,25,1,9.0,3,5,0,4,3,4,3.5,1.0,4.0,2.0,2.3333333333333335,1,3,0,3,3,4
121,55,0,2,2,26,3,2,1,1,2,2,104480,2.0,13,0,30.0,3,5,1,2,3,3,3.0,3.0,4.0,3.0,3.3333333333333335,3,1,3,5,3,5
122,24,0,2,1,1,3,1,0,5,3,0,28970,1.0,18,3,5.0,4,5,0,3,3,3,3.0,4.0,3.0,4.0,3.6666666666666665,0,4,3,2,3,3
123,30,0,2,1,3,3,1,0,2,3,1,59680,1.0,13,0,1.0,3,1,0,0,3,3,3.0,3.0,2.0,3.0,2.6666666666666665,0,4,3,3,1,1
125,22,0,2,1,16,5,4,1,1,6,1,29910,1.0,19,2,2.0,3,2,1,2,2,3,2.5,1.0,2.0,3.0,2.0,0,2,1,2,2,2
126,36,0,2,1,1,3,3,0,5,0,1,196360,1.0,12,1,10.0,3,10,9,0,3,3,3.0,2.0,3.0,3.0,2.6666666666666665,1,4,4,5,4,4
127,30,1,1,2,3,2,2,1,3,6,2,11290,9.0,19,0,3.0,2,1,0,0,2,3,2.5,3.0,4.0,3.0,3.3333333333333335,0,4,1,1,1,2
128,37,0,2,1,10,1,5,1,1,7,0,133410,1.0,14,1,18.0,3,18,12,17,3,3,3.0,4.0,1.0,2.0,2.3333333333333335,1,3,1,5,5,5
129,40,0,2,1,6,2,3,1,3,6,0,43320,7.0,14,2,8.0,3,5,1,3,2,3,2.5,4.0,2.0,3.0,3.0,1,3,1,3,3,4
130,42,0,2,1,2,3,3,0,4,3,0,110310,3.0,12,1,8.0,2,5,1,2,2,3,2.5,2.0,1.0,3.0,2.0,2,4,3,5,3,4
131,37,0,2,2,9,1,2,1,3,7,2,44400,2.0,11,1,18.0,3,1,0,1,2,3,2.5,3.0,2.0,2.0,2.3333333333333335,1,3,1,3,1,5
132,43,0,2,2,10,2,1,0,1,7,0,46170,1.0,11,0,25.0,2,25,3,9,3,3,3.0,1.0,2.0,3.0,2.0,2,3,1,3,5,5
133,40,0,2,2,6,2,1,0,1,2,1,26470,6.0,13,0,20.0,2,1,0,0,2,3,2.5,2.0,3.0,3.0,2.6666666666666665,1,3,3,2,1,5
134,54,0,2,0,9,3,1,0,2,4,1,63230,4.0,23,1,24.0,2,4,1,2,2,4,3.0,1.0,1.0,2.0,1.3333333333333333,3,3,2,4,2,5
135,34,0,0,1,28,3,3,1,1,2,1,56770,9.0,20,1,6.0,3,3,1,2,3,4,3.5,3.0,3.0,3.0,3.0,1,1,3,3,2,3
136,31,0,2,1,10,4,1,1,3,7,1,21870,1.0,15,1,13.0,2,13,3,12,2,3,2.5,2.0,1.0,1.0,1.3333333333333333,1,3,1,1,5,5
138,43,0,2,2,27,4,1,1,2,8,0,39770,4.0,18,1,8.0,3,5,0,2,3,3,3.0,3.0,3.0,3.0,3.0,2,1,0,3,3,4
139,25,0,2,0,7,2,0,1,1,4,2,86330,1.0,19,1,5.0,2,5,1,3,4,3,3.5,2.0,4.0,3.0,3.0,0,3,2,4,3,3
140,37,0,0,1,1,3,3,1,3,2,1,20080,3.0,22,0,15.0,5,13,10,7,2,4,3.0,2.0,3.0,3.0,2.6666666666666665,1,4,3,1,5,5
141,31,0,2,1,24,1,3,1,3,2,1,44400,1.0,13,1,4.0,2,4,3,2,3,3,3.0,4.0,1.0,3.0,2.6666666666666665,1,1,3,3,2,2
142,39,0,1,1,26,4,5,0,1,7,0,30670,1.0,20,1,21.0,5,21,1,6,1,4,2.5,2.0,3.0,3.0,2.6666666666666665,1,1,1,2,5,5
143,56,0,1,1,20,4,1,0,3,7,1,53210,9.0,14,0,36.0,1,7,7,7,3,3,3.0,3.0,1.0,2.0,2.0,3,2,1,3,3,5
144,30,0,2,2,5,4,3,0,2,4,2,54100,0.0,17,1,6.0,2,5,4,4,3,3,3.0,2.0,3.0,3.0,2.6666666666666665,0,4,2,3,3,3
145,41,0,2,1,7,3,5,0,3,6,1,27820,1.0,14,0,10.0,2,10,0,7,2,3,2.5,2.0,1.0,3.0,2.0,2,3,1,2,4,4
146,28,0,2,1,7,3,3,1,3,0,0,119570,1.0,13,0,10.0,2,10,1,8,2,3,2.5,3.0,1.0,3.0,2.3333333333333335,0,3,4,5,4,4
147,25,1,2,1,5,2,1,0,3,2,1,26600,5.0,13,0,6.0,3,2,0,2,3,3,3.0,1.0,1.0,3.0,1.6666666666666667,0,4,3,2,2,3
148,52,0,2,1,26,2,1,0,2,8,1,33750,2.0,21,0,28.0,2,5,0,4,2,4,3.0,4.0,3.0,3.0,3.3333333333333335,3,1,0,2,3,5
149,45,0,2,1,2,3,3,0,1,7,1,50980,3.0,14,1,8.0,4,2,0,2,3,3,3.0,1.0,4.0,2.0,2.3333333333333335,2,4,1,3,2,4
150,52,0,2,1,12,3,3,1,2,6,1,48780,2.0,11,1,31.0,3,5,1,4,3,3,3.0,4.0,4.0,1.0,3.0,3,2,1,3,3,5
151,42,0,1,2,10,3,2,0,2,0,0,28370,2.0,13,1,19.0,0,5,0,2,2,3,2.5,1.0,3.0,3.0,2.3333333333333335,2,3,4,2,3,5
152,30,0,2,2,25,3,2,1,1,7,2,24060,2.0,20,1,11.0,5,5,0,2,3,4,3.5,3.0,4.0,3.0,3.3333333333333335,0,1,1,1,3,4
153,60,0,2,1,10,3,1,0,1,4,1,22690,5.0,18,1,33.0,4,29,11,10,3,3,3.0,1.0,1.0,1.0,1.0,3,3,2,1,5,5
154,46,0,2,2,19,4,2,0,1,7,0,41080,2.0,14,0,19.0,5,10,0,8,2,3,2.5,3.0,3.0,2.0,2.6666666666666665,2,2,1,3,4,5
155,42,0,1,1,18,4,5,1,4,7,1,132060,0.0,13,2,7.0,2,6,0,4,3,3,3.0,4.0,4.0,4.0,4.0,2,2,1,5,3,3
156,24,1,2,1,27,2,3,1,1,6,2,104220,1.0,17,1,6.0,0,5,1,4,2,3,2.5,1.0,2.0,3.0,2.0,0,1,1,5,3,3
157,34,1,1,1,5,3,3,1,2,6,0,137440,0.0,20,1,3.0,3,2,1,0,3,4,3.5,4.0,3.0,2.0,3.0,1,4,1,5,2,2
158,38,0,1,2,3,3,2,0,2,7,1,49070,1.0,11,1,1.0,3,1,0,0,3,3,3.0,4.0,4.0,3.0,3.6666666666666665,1,4,1,3,1,1
159,40,0,2,2,26,4,2,0,1,7,1,34820,0.0,18,1,21.0,2,20,1,12,2,3,2.5,3.0,3.0,3.0,3.0,1,1,1,2,5,5
160,26,0,2,1,3,2,3,0,4,0,0,24360,1.0,24,0,3.0,2,3,0,2,4,4,4.0,1.0,4.0,1.0,2.0,0,4,4,1,2,2
161,30,0,0,1,15,3,3,0,2,7,1,23800,4.0,18,3,9.0,2,5,1,4,2,3,2.5,3.0,4.0,1.0,2.6666666666666665,0,2,1,1,3,4
162,29,0,2,1,8,3,3,0,3,4,1,194310,1.0,11,0,10.0,3,10,0,7,3,3,3.0,2.0,3.0,3.0,2.6666666666666665,0,3,2,5,4,4
